ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
33,152,1,0,0,3,0,0,4,0,0,1,3,4
33,153,6,1,0,1,0,0,7,1,0,7,1,8
33,163,6,2,0,5,3,0,11,5,0,8,8,16
33,171,673,136,0,633,1128,0,1306,1264,0,809,1761,2570
33,172,358,54,0,175,192,0,533,246,0,412,367,779
33,173,5754,1203,0,6943,13028,0,12697,14231,0,6957,19971,26928
33,181,2,0,0,1,1,0,3,1,0,2,2,4
33,182,1,0,0,1,3,0,2,3,0,1,4,5
33,191,2,1,0,2,1,0,4,2,0,3,3,6
33,192,2,0,0,0,0,0,2,0,0,2,0,2
33,201,2,0,0,5,6,0,7,6,0,2,11,13
34,1,841,196,35,267,405,12,1108,601,47,1072,684,1756
34,2,731,206,7,284,450,12,1015,656,19,944,746,1690
34,3,2089,503,86,659,837,29,2748,1340,115,2678,1525,4203
34,4,1954,476,223,610,850,79,2564,1326,302,2653,1539,4192
34,5,1053,263,113,296,334,26,1349,597,139,1429,656,2085
34,6,1389,334,335,273,352,137,1662,686,472,2058,762,2820
34,7,767,169,87,236,221,42,1003,390,129,1023,499,1522
34,8,831,201,377,129,197,93,960,398,470,1409,419,1828
34,9,351,102,105,64,80,25,415,182,130,558,169,727
34,10,296,73,10,106,95,7,402,168,17,379,208,587
34,11,367,88,105,65,63,23,432,151,128,560,151,711
34,12,227,60,17,73,55,23,300,115,40,304,151,455
34,15,285,52,2,111,137,2,396,189,4,339,250,589
34,16,157,24,1,50,61,0,207,85,1,182,111,293
34,17,1664,279,18,569,822,13,2233,1101,31,1961,1404,3365
34,18,3086,566,28,1383,1922,43,4469,2488,71,3680,3348,7028
34,21,131,23,55,6,8,10,137,31,65,209,24,233
34,22,169,63,39,36,41,14,205,104,53,271,91,362
34,23,129,26,17,43,31,12,172,57,29,172,86,258
34,24,91,29,8,30,37,9,121,66,17,128,76,204
34,31,13250,3135,192,10806,14107,237,24056,17242,429,16577,25150,41727
34,32,13096,3029,138,10563,13944,197,23659,16973,335,16263,24704,40967
34,33,3921,884,7,3963,6438,30,7884,7322,37,4812,10431,15243
34,34,37555,8805,672,30541,38352,734,68096,47157,1406,47032,69627,116659
34,35,13745,3331,591,8114,11319,356,21859,14650,947,17667,19789,37456
34,36,6576,1622,174,6640,10195,146,13216,11817,320,8372,16981,25353
34,41,1274,284,122,306,398,31,1580,682,153,1680,735,2415
34,43,386,106,65,92,103,28,478,209,93,557,223,780
34,44,409,82,60,95,90,16,504,172,76,551,201,752
34,45,118,33,26,20,19,18,138,52,44,177,57,234
34,46,72,23,17,14,22,11,86,45,28,112,47,159
34,47,186,50,44,26,36,19,212,86,63,280,81,361
34,48,127,33,8,32,39,16,159,72,24,168,87,255
34,49,191,61,10,37,49,8,228,110,18,262,94,356
34,51,379,74,0,93,125,1,472,199,1,453,219,672
34,52,898,191,5,362,430,6,1260,621,11,1094,798,1892
34,61,80,12,0,22,24,1,102,36,1,92,47,139
34,62,67,14,0,35,20,2,102,34,2,81,57,138
34,71,152,43,3,59,65,3,211,108,6,198,127,325
34,72,376,67,22,101,72,15,477,139,37,465,188,653
34,73,58,13,0,25,24,5,83,37,5,71,54,125
34,74,596,126,42,133,143,33,729,269,75,764,309,1073
34,75,143,21,6,41,24,14,184,45,20,170,79,249
34,76,96,21,0,42,30,6,138,51,6,117,78,195
34,81,92,19,3,22,16,4,114,35,7,114,42,156
34,82,14,3,0,17,8,1,31,11,1,17,26,43
34,83,66,17,1,29,26,1,95,43,2,84,56,140
34,91,21,7,3,8,10,2,29,17,5,31,20,51
34,92,33,8,0,7,12,4,40,20,4,41,23,64
