ZONE,COUNTY,TRIP MODE,QUANTITY
51,CARROLL,BIKE,1
51,CARROLL,DRIVEALONEFREE,324
51,CARROLL,KNR_ALLTRN,1
51,CARROLL,SCHOOL_BUS,55
51,CARROLL,SHARED2FREE,252
51,CARROLL,SHARED3FREE,190
51,CARROLL,TNC,11
51,CARROLL,TOTAL,840
51,CARROLL,WALK,6
52,SPALDING,BIKE,28
52,SPALDING,DRIVEALONEFREE,4650
52,SPALDING,DRIVEALONEPAY,2
52,SPALDING,KNR_ALLTRN,2
52,SPALDING,PNR_PRMTRN,5
52,SPALDING,SCHOOL_BUS,582
52,SPALDING,SHARED2FREE,3112
52,SPALDING,SHARED3FREE,2482
52,SPALDING,TNC,113
52,SPALDING,TOTAL,11401
52,SPALDING,WALK,419
52,SPALDING,WALK_ALLTRN,6
53,NEWTON,BIKE,46
53,NEWTON,DRIVEALONEFREE,4507
53,NEWTON,DRIVEALONEPAY,3
53,NEWTON,KNR_ALLTRN,3
53,NEWTON,PNR_PRMTRN,7
53,NEWTON,SCHOOL_BUS,248
53,NEWTON,SHARED2FREE,2489
53,NEWTON,SHARED3FREE,1766
53,NEWTON,TNC,88
53,NEWTON,TOTAL,9493
53,NEWTON,WALK,332
53,NEWTON,WALK_ALLTRN,4
54,NEWTON,BIKE,21
54,NEWTON,DRIVEALONEFREE,4694
54,NEWTON,DRIVEALONEPAY,9
54,NEWTON,KNR_ALLTRN,3
54,NEWTON,PNR_ALLTRN,3
54,NEWTON,SCHOOL_BUS,365
54,NEWTON,SHARED2FREE,2116
54,NEWTON,SHARED3FREE,1504
54,NEWTON,TNC,85
54,NEWTON,TOTAL,9111
54,NEWTON,WALK,289
54,NEWTON,WALK_ALLTRN,22
55,WALTON,BIKE,38
55,WALTON,DRIVEALONEFREE,4087
55,WALTON,DRIVEALONEPAY,2
55,WALTON,PNR_PRMTRN,1
55,WALTON,SCHOOL_BUS,138
55,WALTON,SHARED2FREE,1919
55,WALTON,SHARED3FREE,1312
55,WALTON,TNC,71
55,WALTON,TOTAL,7842
55,WALTON,WALK,263
55,WALTON,WALK_ALLTRN,11
56,BARROW,BIKE,21
56,BARROW,DRIVEALONEFREE,3378
56,BARROW,DRIVEALONEPAY,2
56,BARROW,KNR_ALLTRN,2
56,BARROW,PNR_ALLTRN,1
56,BARROW,PNR_PRMTRN,1
56,BARROW,SCHOOL_BUS,59
56,BARROW,SHARED2FREE,1424
56,BARROW,SHARED3FREE,1176
56,BARROW,TNC,68
56,BARROW,TOTAL,6341
56,BARROW,WALK,194
56,BARROW,WALK_ALLTRN,15
57,HALL,BIKE,7
57,HALL,DRIVEALONEFREE,1724
57,HALL,SCHOOL_BUS,9
57,HALL,SHARED2FREE,683
57,HALL,SHARED2PAY,1
57,HALL,SHARED3FREE,488
57,HALL,TNC,33
57,HALL,TOTAL,3062
57,HALL,WALK,111
57,HALL,WALK_ALLTRN,6
58,HALL,BIKE,60
58,HALL,DRIVEALONEFREE,8528
58,HALL,DRIVEALONEPAY,15
58,HALL,KNR_ALLTRN,4
58,HALL,PNR_ALLTRN,4
58,HALL,PNR_PRMTRN,4
58,HALL,SCHOOL_BUS,98
58,HALL,SHARED2FREE,2653
58,HALL,SHARED3FREE,1694
58,HALL,TNC,167
58,HALL,TOTAL,13869
58,HALL,WALK,595
58,HALL,WALK_ALLTRN,47
59,DAWSON,BIKE,30
59,DAWSON,DRIVEALONEFREE,8848
59,DAWSON,DRIVEALONEPAY,8
59,DAWSON,KNR_ALLTRN,1
59,DAWSON,SCHOOL_BUS,5
59,DAWSON,SHARED2FREE,3416
59,DAWSON,SHARED3FREE,2505
59,DAWSON,TNC,143
59,DAWSON,TOTAL,15397
59,DAWSON,WALK,409
59,DAWSON,WALK_ALLTRN,32
60,,BIKE,8
60,,DRIVEALONEFREE,1461
60,,PNR_ALLTRN,1
60,,SCHOOL_BUS,1
60,,SHARED2FREE,426
60,,SHARED2PAY,1
60,,SHARED3FREE,336
60,,TNC,29
60,,TOTAL,2329
60,,WALK,61
60,,WALK_ALLTRN,5
61,,BIKE,88
61,,DRIVEALONEFREE,13208
61,,DRIVEALONEPAY,22
61,,KNR_ALLTRN,3
61,,KNR_PRMTRN,1
61,,PNR_ALLTRN,5
61,,PNR_PRMTRN,4
61,,SCHOOL_BUS,169
61,,SHARED2FREE,3383
61,,SHARED2PAY,1
61,,SHARED3FREE,1867
61,,SHARED3PAY,1
61,,TNC,227
61,,TOTAL,19895
61,,WALK,837
61,,WALK_ALLTRN,79
62,,BIKE,24
62,,DRIVEALONEFREE,2823
62,,DRIVEALONEPAY,1
62,,KNR_ALLTRN,2
